[ 2018-02-17T22:51:11+08:00 ] /Public/Theme/default/images/bottom_logo.gif | ERR: (ThinkException) 无法加载模块Public
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001381s ]
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001541s ]
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001152s ]
[ 2018-02-17T22:51:16+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001335s ]
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001797s ]
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001914s ]
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001436s ]
[ 2018-02-17T22:51:18+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001557s ]
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --START--
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000925s ]
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001020s ]
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000670s ]
[ 2018-02-17T22:51:21+08:00 ] /index.php/Common/pushMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000745s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ route_check ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run CheckRoute Behavior [ RunTime:0.001573s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ route_check ] --END-- [ RunTime:0.001713s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000941s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001044s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | SQL: SHOW COLUMNS FROM `ningbo_weibo` [ RunTime:0.003106s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | SQL: INSERT INTO `ningbo_weibo` (`content`,`time`,`user_id`) VALUES ('@仔仔',1518879082,'2') [ RunTime:0.002004s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.009111s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | SQL: UPDATE `ningbo_userinfo` SET `weibo`=weibo+1 WHERE ( `user_id` = '2' ) [ RunTime:0.002887s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_template ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run LocationTemplate Behavior [ RunTime:0.002705s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_template ] --END-- [ RunTime:0.002887s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_parse ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run ParseTemplate Behavior [ RunTime:0.021410s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021523s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_filter ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run ContentReplace Behavior [ RunTime:0.001190s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run TokenBuild Behavior [ RunTime:0.001184s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001042s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run ShowRuntime Behavior [ RunTime:0.001218s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004865s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_end ] --START--
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Run ShowPageTrace Behavior [ RunTime:0.001090s ]
[ 2018-02-17T22:51:22+08:00 ] /index.php/Index/sendWeibo | INFO: Tag[ view_end ] --END-- [ RunTime:0.001164s ]
[ 2018-02-17T22:51:23+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2018-02-17T22:51:23+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001502s ]
[ 2018-02-17T22:51:23+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001708s ]
